 Шаг Элемент       Позиция X/R  Позиция Y/A  Позиция Z       Размер База        
 279 Дистанция         +1.0053      +0.0155    +0.0000      +1.0055 51, 52      
 280 Дистанция         +1.0094      +0.0017    +0.0000      +1.0094 52, 53      
 281 Дистанция         +0.9936      +1.0057    +0.0000      +1.4137 53, 54      
 282 Дистанция         +0.0042      +1.0062    +0.0000      +1.0062 54, 55      
 283 Дистанция         +0.0205      +1.0040    +0.0000      +1.0042 55, 56      
 284 Дистанция         +0.0363      +0.9861    +0.0000      +0.9867 56, 57      
 285 Дистанция         +0.0250      +1.0024    +0.0000      +1.0027 57, 58      
 286 Дистанция         +0.0153      +0.9885    +0.0000      +0.9886 58, 59      
 287 Дистанция         +0.0102      +0.9964    +0.0000      +0.9965 59, 60      
 288 Дистанция         +0.0197      +1.0005    +0.0000      +1.0006 60, 61      
 289 Дистанция         +0.0115      +0.9948    +0.0000      +0.9949 61, 62      
 290 Дистанция         +0.0092      +0.9953    +0.0000      +0.9953 62, 63      
 291 Дистанция         +0.0082      +0.9931    +0.0000      +0.9931 63, 64      
 292 Дистанция         +0.0188      +0.9877    +0.0000      +0.9879 64, 65      
 293 Дистанция         +0.0117      +0.9919    +0.0000      +0.9919 65, 66      
 294 Дистанция         +0.0121      +0.9907    +0.0000      +0.9908 66, 67      
 295 Дистанция         +0.0000      +0.9982    +0.0000      +0.9982 67, 68      
 296 Дистанция         +0.0028      +0.9894    +0.0000      +0.9894 68, 69      
 297 Дистанция         +0.0015      +0.9817    +0.0000      +0.9817 69, 70      
 298 Дистанция         +0.0076      +1.0033    +0.0000      +1.0034 70, 71      
 299 Дистанция         +0.0034      +0.9994    +0.0000      +0.9994 71, 72      
 300 Дистанция         +0.0042      +0.9831    +0.0000      +0.9831 72, 73      
 301 Дистанция         +0.0008      +0.9991    +0.0000      +0.9991 73, 74      
 302 Дистанция         +0.0062      +0.9997    +0.0000      +0.9997 74, 75      
 303 Дистанция         +0.0024      +0.9868    +0.0000      +0.9868 75, 76      
 304 Дистанция         +0.0086      +1.0025    +0.0000      +1.0025 76, 77      
 305 Дистанция         +0.0045      +0.9907    +0.0000      +0.9907 77, 78      
 306 Дистанция         +0.0045      +0.9882    +0.0000      +0.9882 78, 79      
 307 Дистанция         +0.0130      +1.0020    +0.0000      +1.0021 79, 80      
 308 Дистанция         +0.0019      +0.9851    +0.0000      +0.9851 80, 81      
 309 Дистанция         +0.0087      +0.9868    +0.0000      +0.9868 81, 82      
 310 Дистанция         +0.0025      +0.9936    +0.0000      +0.9936 82, 83      
 311 Дистанция         +0.0052      +0.9924    +0.0000      +0.9924 83, 84      
 312 Дистанция         +0.0025      +0.9872    +0.0000      +0.9872 84, 85      
 313 Дистанция         +0.0047      +0.9916    +0.0000      +0.9916 85, 86      
 314 Дистанция         +0.0059      +0.9985    +0.0000      +0.9985 86, 87      
 315 Дистанция         +0.0019      +0.9878    +0.0000      +0.9878 87, 88      
 316 Дистанция         +0.0001      +0.9976    +0.0000      +0.9976 88, 89      
 317 Дистанция         +0.0023      +0.9884    +0.0000      +0.9884 89, 90      
 318 Дистанция         +0.0112      +0.9870    +0.0520      +0.9871 90, 91      
 319 Дистанция         +0.0073      +0.9940    +0.0010      +0.9941 91, 92      
 320 Дистанция         +0.0070      +1.0061    +0.0000      +1.0061 92, 93      
 321 Дистанция         +0.0033      +0.9852    +0.0000      +0.9852 93, 94      
 322 Дистанция         +0.0121      +0.9955    +0.0000      +0.9956 94, 95      
 323 Дистанция         +0.0011      +1.0027    +0.0000      +1.0027 95, 96      
 324 Дистанция         +0.9933      +0.9646    +0.0830      +1.3846 96, 97      
 325 Дистанция         +0.9956      +0.0025    +0.0530      +0.9956 97, 98      
 326 Дистанция         +0.9842      +0.0261    +0.0000      +0.9846 98, 99      
 327 Дистанция         +0.9993      +0.0288    +0.0000      +0.9997 99, 100     
 328 Дистанция         +0.9949      +0.0165    +0.0000      +0.9950 100, 101    
 329 Дистанция         +0.9834      +0.0062    +0.0000      +0.9834 101, 102    
 330 Дистанция         +0.9981      +0.0171    +0.0000      +0.9982 102, 103    
 331 Дистанция         +0.9823      +0.0121    +0.0020      +0.9823 103, 104    
 332 Дистанция         +0.9960      +0.0010    +0.0000      +0.9960 104, 105    
 333 Дистанция         +0.9859      +0.0115    +0.0000      +0.9860 105, 106    
 334 Дистанция         +0.9962      +0.0217    +0.0000      +0.9965 106, 107    
 335 Дистанция         +0.9841      +0.0024    +0.0000      +0.9841 107, 108    
 336 Дистанция         +0.9939      +0.0018    +0.0000      +0.9939 108, 109    
 337 Дистанция         +0.9887      +0.0069    +0.0000      +0.9887 109, 110    
 338 Дистанция         +0.9937      +0.0160    +0.0000      +0.9938 110, 111    
 339 Дистанция         +0.9949      +0.0056    +0.0000      +0.9949 111, 112    
 340 Дистанция         +0.9929      +0.0000    +0.0000      +0.9929 112, 113    
 341 Дистанция         +0.9773      +0.0148    +0.0000      +0.9774 113, 114    
 342 Дистанция         +0.9889      +0.0042    +0.0000      +0.9889 114, 115    
 343 Дистанция         +0.9885      +0.0119    +0.0000      +0.9886 115, 116    
 344 Дистанция         +0.9784      +0.0199    +0.0000      +0.9786 116, 117    
 345 Дистанция         +0.9781      +0.0063    +0.0000      +0.9781 117, 118    
 346 Дистанция         +0.9838      +0.0107    +0.0000      +0.9839 118, 119    
 347 Дистанция         +0.9966      +0.0084    +0.0000      +0.9967 119, 120    
 348 Дистанция         +0.9959      +0.0220    +0.0000      +0.9962 120, 121    
 349 Дистанция         +0.9898      +0.0166    +0.0000      +0.9899 121, 122    
 350 Дистанция         +0.9787      +0.0283    +0.0000      +0.9792 122, 123    
